equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.90483,0.87924,0.92717,0.93441,0.86869,0.92496,0.90559,0.88241,0.87746,0.89758,0.86585,0.85884,0.88038,0.87879,0.8693,0.85843,0.869,0.87034,0.87002,0.9034,0.87097,1.5147,0.86438,0.85975,0.88132,0.88376,0.91145,0.93317,
0.40657,0.39772,0.41319,0.39889,0.40251,0.42714,0.39596,0.41129,0.39318,0.40156,0.40152,0.40219,0.39475,0.39554,0.40311,0.38751,0.39574,0.40208,0.40733,0.39703,0.39564,0.41888,0.40603,0.39965,0.39978,0.39813,0.40854,0.39472,
0.59378,0.54732,0.57248,0.54481,0.55186,0.54663,0.54853,0.56457,0.53944,0.53577,0.55999,0.57663,0.53292,0.54715,0.56565,0.53764,0.54839,0.54148,0.52715,0.5666,0.543,0.56056,0.54316,0.54145,0.54013,0.56993,0.54704,0.57184,
0.43296,0.41708,0.4189,0.41776,0.42376,0.42097,0.4163,0.42263,0.41197,0.41496,0.42062,0.41755,0.41109,0.41294,0.4208,0.41032,0.41722,0.41859,0.41708,0.41775,0.41336,0.41065,0.43393,0.4149,0.41565,0.42032,0.41987,0.41749,
0.40501,0.39744,0.40043,0.40132,0.40302,0.40842,0.39712,0.40425,0.39169,0.39864,0.39605,0.3967,0.39144,0.39348,0.39516,0.39184,0.39912,0.40355,0.39588,0.39219,0.39403,0.40243,0.42836,0.40053,0.39978,0.39403,0.3981,0.39363,
0.85735,0.86037,0.93703,0.85898,0.86777,1.0052,0.84979,0.92261,0.84778,0.88472,0.86792,0.89442,0.85661,0.86131,0.87497,0.82965,0.85511,0.88682,0.90143,0.84618,0.86083,0.89133,0.88326,0.88807,0.87915,0.84815,0.89793,0.83436,
0.94083,0.87616,0.90039,0.86644,0.88889,0.88101,0.87355,0.89598,0.86754,0.86211,0.90241,0.90032,0.86289,0.8719,0.91009,0.85597,0.87077,0.86382,0.87724,0.90385,0.86951,0.86182,0.84745,0.8583,0.8622,0.91003,0.89217,0.89971,
0.40303,0.40966,0.38594,0.42396,0.4164,0.39226,0.41286,0.40288,0.40055,0.41048,0.39099,0.3926,0.39803,0.40128,0.38312,0.41426,0.42029,0.42549,0.386,0.38631,0.40343,0.40036,0.50689,0.42094,0.41743,0.3887,0.38822,0.39704,
0.89147,0.87313,0.86985,0.89016,0.88364,0.87934,0.87765,0.87637,0.86241,0.8752,0.86619,0.85829,0.86152,0.86317,0.86278,0.86281,0.87595,0.88155,0.86458,0.86525,0.86406,0.96645,0.93845,0.87216,0.87574,0.86629,0.87372,0.87375,
0.91969,0.89441,0.86629,0.88129,0.92031,0.91395,0.88389,0.88494,0.89694,0.89817,0.9259,0.84022,0.90948,0.87739,0.92644,0.8639,0.87098,0.87802,0.9835,0.90518,0.88721,0.86406,0.82919,0.85524,0.878,0.91041,0.95283,0.87274,
