task,image_size,recognition,face_num,face_area,cpu_core,mem,disk,time
0,1147704,1,0,0,1,1009520640,78776315904,0.489476919
1,1150053,1,0,0,1,1009520640,78776315904,0.363389969
2,1151299,1,0,0,1,1009520640,78776315904,0.331129074
3,1119183,1,0,0,1,1009520640,78776315904,0.342021942
4,1117925,1,0,0,1,1009520640,78776315904,0.573176861
5,1121545,1,0,0,1,1009520640,78776307712,0.582473993
6,1116805,1,0,0,1,1009520640,78776307712,0.324254036
7,1122963,1,0,0,1,1009520640,78776315904,0.31595993
8,1125003,1,0,0,1,1009520640,78776315904,0.374294996
9,1126077,1,0,0,1,1009520640,78776315904,0.311877966
10,1121139,1,0,0,1,1009520640,78776315904,0.3172369
11,1119968,1,0,0,1,1009520640,78776315904,0.305669785
12,1118681,1,0,0,1,1009520640,78776332288,0.589360952
13,1119964,1,0,0,1,1009520640,78776332288,0.46841383
14,1123352,1,0,0,1,1009520640,78776332288,0.341536045
15,1129343,1,0,0,1,1009520640,78776332288,0.32306385
16,1132668,1,0,0,1,1009520640,78776332288,0.31802702
17,1132122,1,0,0,1,1009520640,78776332288,0.347935915
18,1131316,1,0,0,1,1009520640,78776332288,0.344301939
19,1133131,1,0,0,1,1009520640,78776332288,0.316903114
20,805779,2,0,0,1,1009520640,78776332288,0.235023022
21,805994,2,0,0,1,1009520640,78776332288,0.328790903
22,802130,2,0,0,1,1009520640,78776332288,0.221859932
23,598441,2,0,0,1,1009520640,78776332288,0.195935011
24,644690,2,0,0,1,1009520640,78776332288,0.207728863
25,644277,2,0,0,1,1009520640,78776332288,0.212383032
26,645841,2,0,0,1,1009520640,78776332288,0.207535028
27,645060,2,0,0,1,1009520640,78776332288,0.278505087
28,645502,2,0,0,1,1009520640,78776332288,0.214795113
29,645978,2,0,0,1,1009520640,78776332288,0.214510918
30,645750,2,0,0,1,1009520640,78776332288,0.206440926
31,645790,2,0,0,1,1009520640,78776332288,0.209597111
32,646162,2,0,0,1,1009520640,78776332288,0.207787991
33,646158,2,0,0,1,1009520640,78776332288,0.208320141
34,646200,2,0,0,1,1009520640,78776332288,0.218048096
35,645167,2,0,0,1,1009520640,78776332288,0.210278988
36,645386,2,0,0,1,1009520640,78776332288,0.204046011
37,645819,2,0,0,1,1009520640,78776332288,0.216309786
38,645648,2,0,0,1,1009520640,78776332288,0.207386017
39,644489,2,0,0,1,1009520640,78776332288,0.216623068
40,431613,3,0,0,1,1009520640,78776332288,0.146486044
41,434595,3,0,0,1,1009520640,78776332288,0.144685984
42,435649,3,0,0,1,1009520640,78776320000,0.139579058
43,423087,3,0,0,1,1009520640,78776320000,0.139191151
44,425059,3,0,0,1,1009520640,78776320000,0.139430046
45,432063,3,0,0,1,1009520640,78776320000,0.142266989
46,425713,3,0,0,1,1009520640,78776320000,0.143069983
47,426491,3,0,0,1,1009520640,78776320000,0.13911581
48,434276,3,0,0,1,1009520640,78776320000,0.140227079
49,434497,3,0,0,1,1009520640,78776320000,0.140262127
50,435318,3,0,0,1,1009520640,78776320000,0.143370152
51,426544,3,0,0,1,1009520640,78776320000,0.152730942
52,429232,3,0,0,1,1009520640,78776320000,0.138929129
53,428477,3,0,0,1,1009520640,78776320000,0.147125959
54,428337,3,0,0,1,1009520640,78776320000,0.221572876
55,428638,3,0,0,1,1009520640,78776320000,0.133281946
56,435231,3,0,0,1,1009520640,78776320000,0.134742022
57,433954,3,0,0,1,1009520640,78776320000,0.143639088
58,433331,3,0,0,1,1009520640,78776320000,0.1424191
59,433531,3,0,0,1,1009520640,78776320000,0.140068054
60,1154897,1,1,51984,1,1009520640,78773473280,0.856137037
61,1157608,1,1,22801,1,1009520640,78770622464,0.416516066
62,1157237,1,0,0,1,1009520640,78767775744,0.377558947
63,1127148,1,0,0,1,1009520640,78765006848,0.411321878
64,1136638,1,0,0,1,1009520640,78762233856,0.434318781
65,1121158,1,0,0,1,1009520640,78759473152,0.387991905
66,1136554,1,1,65025,1,1009520640,78756691968,0.457075119
67,1130759,1,1,44944,1,1009520640,78753923072,0.42168498
